date,type,ticker,rating_osc,rating_ma
2019-10-21,crypto,XRPUSD,Sell,Srong Buy
2019-10-21,crypto,BNBUSD,Buy,Neutral
2019-10-21,crypto,DASHUSD,Buy,Srong Sell
2019-10-21,crypto,EOSUSD,Neutral,Srong Sell
2019-10-22,stock,MSFT,Buy,Buy
2019-10-22,stock,AAPL,Sell,Srong Buy
2019-10-22,stock,BABA,Buy,Srong Buy
2019-10-22,stock,JNJ,Neutral,Srong Sell
2019-10-22,stock,GOOG,Sell,Srong Buy
2019-10-22,stock,JPM,Buy,Srong Buy
2019-10-22,stock,AMZN,Buy,Buy
2019-10-22,stock,FB,Buy,Srong Buy
2019-10-22,index,NIFTY,Buy,Srong Buy
2019-10-22,index,NI225,Neutral,Srong Buy
2019-10-22,index,DAX,Buy,Srong Buy
2019-10-22,index,TSX,Sell,Sell
2019-10-22,index,IXIC,Buy,Srong Buy
2019-10-22,index,VIX,Sell,Srong Sell
2019-10-22,index,DJI,Neutral,Srong Buy
2019-10-22,index,SPX,Buy,Srong Buy
2019-10-22,crypto,BTCUSD,Neutral,Sell
2019-10-22,crypto,ETHUSD,Sell,Srong Sell
2019-10-22,crypto,BNBUSD,Neutral,Neutral
2019-10-22,crypto,EOSUSD,Sell,Srong Sell
2019-10-22,crypto,XRPUSD,Buy,Srong Buy
2019-10-22,crypto,DASHUSD,Sell,Srong Sell
2019-10-22,crypto,LTCUSD,Sell,Srong Sell
2019-10-22,crypto,IOTAUSD,Sell,Srong Sell
2019-10-23,stock,AAPL,Sell,Srong Buy
2019-10-23,stock,JNJ,Sell,Srong Sell
2019-10-23,stock,AMZN,Buy,Sell
2019-10-23,stock,MSFT,Neutral,Srong Sell
2019-10-23,stock,FB,Buy,Sell
2019-10-23,stock,BABA,Neutral,Srong Sell
2019-10-23,stock,GOOG,Buy,Srong Buy
2019-10-23,stock,JPM,Sell,Srong Buy
2019-10-23,crypto,XRPUSD,Buy,Srong Buy
2019-10-23,crypto,DASHUSD,Buy,Srong Sell
2019-10-23,crypto,BNBUSD,Buy,Sell
2019-10-23,crypto,BTCUSD,Buy,Srong Sell
2019-10-23,crypto,ETHUSD,Sell,Srong Sell
2019-10-23,crypto,EOSUSD,Neutral,Srong Sell
2019-10-23,crypto,LTCUSD,Buy,Srong Sell
2019-10-23,crypto,IOTAUSD,Sell,Srong Sell
2019-10-23,index,DJI,Neutral,Buy
2019-10-23,index,NIFTY,Buy,Srong Buy
2019-10-23,index,TSX,Sell,Srong Sell
2019-10-23,index,VIX,Buy,Srong Sell
2019-10-23,index,IXIC,Neutral,Srong Buy
2019-10-23,index,DAX,Neutral,Srong Buy
2019-10-23,index,NI225,Neutral,Srong Buy
2019-10-23,index,SPX,Sell,Srong Buy
2019-10-24,stock,MSFT,Neutral,Sell
2019-10-24,stock,GOOG,Neutral,Srong Buy
2019-10-24,stock,JNJ,Sell,Srong Sell
2019-10-24,stock,AAPL,Neutral,Srong Buy
2019-10-24,stock,BABA,Buy,Srong Sell
2019-10-24,stock,FB,Buy,Srong Buy
2019-10-24,stock,JPM,Buy,Srong Buy
2019-10-24,stock,AMZN,Buy,Sell
2019-10-24,crypto,DASHUSD,Buy,Srong Sell
2019-10-24,crypto,LTCUSD,Buy,Srong Sell
2019-10-24,crypto,BNBUSD,Neutral,Srong Sell
2019-10-24,crypto,XRPUSD,Sell,Srong Sell
2019-10-24,crypto,ETHUSD,Neutral,Srong Sell
2019-10-24,crypto,IOTAUSD,Sell,Srong Sell
2019-10-24,crypto,EOSUSD,Sell,Srong Sell
2019-10-24,crypto,BTCUSD,Buy,Srong Sell
2019-10-24,index,IXIC,Buy,Srong Buy
2019-10-24,index,SPX,Buy,Srong Buy
2019-10-24,index,NIFTY,Sell,Srong Buy
2019-10-24,index,DJI,Buy,Srong Buy
2019-10-24,index,DAX,Buy,Srong Buy
2019-10-24,index,NI225,Sell,Srong Buy
2019-10-24,index,TSX,Sell,Srong Sell
2019-10-24,index,VIX,Sell,Srong Sell
2019-10-25,index,DJI,Buy,Srong Buy
2019-10-25,index,TSX,Sell,Srong Sell
2019-10-25,index,NIFTY,Buy,Srong Buy
2019-10-25,index,SPX,Buy,Srong Buy
2019-10-25,index,VIX,Sell,Srong Sell
2019-10-25,index,NI225,Neutral,Srong Buy
2019-10-25,index,DAX,Neutral,Srong Buy
2019-10-25,index,IXIC,Neutral,Srong Buy
2019-10-25,stock,JPM,Buy,Srong Buy
2019-10-25,stock,AAPL,Sell,Srong Buy
2019-10-25,stock,GOOG,Buy,Srong Buy
2019-10-25,stock,BABA,Neutral,Srong Buy
2019-10-25,stock,AMZN,Neutral,Buy
2019-10-25,stock,MSFT,Sell,Srong Buy
2019-10-25,stock,FB,Buy,Srong Buy
2019-10-25,stock,JNJ,Neutral,Srong Sell
2019-10-25,crypto,BTCUSD,Neutral,Srong Sell
2019-10-25,crypto,ETHUSD,Neutral,Srong Sell
2019-10-25,crypto,DASHUSD,Buy,Srong Sell
2019-10-25,crypto,LTCUSD,Neutral,Srong Sell
2019-10-25,crypto,BNBUSD,Buy,Srong Sell
2019-10-25,crypto,EOSUSD,Buy,Srong Sell
2019-10-25,crypto,IOTAUSD,Neutral,Srong Sell
2019-10-25,crypto,XRPUSD,Neutral,Srong Sell
2019-10-26,crypto,IOTAUSD,Sell,Buy
2019-10-26,crypto,DASHUSD,Neutral,Srong Sell
2019-10-26,crypto,BTCUSD,Buy,Buy
2019-10-26,crypto,XRPUSD,Buy,Srong Buy
2019-10-26,crypto,EOSUSD,Buy,Buy
2019-10-26,crypto,BNBUSD,Buy,Buy
2019-10-26,crypto,LTCUSD,Buy,Buy
2019-10-26,crypto,ETHUSD,Sell,Buy
2019-10-27,crypto,LTCUSD,Neutral,Neutral
2019-10-27,crypto,BNBUSD,Buy,Buy
2019-10-27,crypto,DASHUSD,Neutral,Neutral
2019-10-27,crypto,IOTAUSD,Sell,Sell
2019-10-27,crypto,XRPUSD,Buy,Srong Buy
