entry_date,symbol,symbol_name,signal_perc,url
2019-01-31,AMT,American Tower Corp,100,https://www.barchart.com/story/news/chart-of-the-day/351462/barchartcoms-chart-of-the-day-american-tower
2019-01-30,NYCB,New York Community Bancorp,88,https://www.barchart.com/story/news/chart-of-the-day/330207/barchartcoms-chart-of-the-day-new-york-community-bancorp
2019-01-29,EPRT,Essential Properties Realty Trust Inc,96,https://www.barchart.com/story/news/chart-of-the-day/313353/barchartcoms-chart-of-the-day-essential-properties
2019-01-28,GLPI,Gaming & Leisure,80,https://www.barchart.com/story/news/chart-of-the-day/300742/barchartcoms-chart-of-the-day-gaming-leisure-properties
2019-01-25,ARCO,Arcos Dorados Holdings Inc,100,https://www.barchart.com/story/news/chart-of-the-day/271134/barchartcoms-chart-of-the-day-arcos-dorados
2019-01-24,LFVN,Lifevantage Cp,100,https://www.barchart.com/story/news/chart-of-the-day/249171/barchartcoms-chart-of-the-day-lifevantage
2019-01-23,CENTA,Central Garden & Pet,80,https://www.barchart.com/story/news/chart-of-the-day/227097/barchartcoms-chart-of-the-day-central-garden-pet
2019-01-22,LOCO,El Pollo Loco,100,https://www.barchart.com/story/news/chart-of-the-day/209271/barchartcoms-chart-of-the-day-el-pollo-loco
2019-01-18,AT,Atlantic Power Corp,96,https://www.barchart.com/story/news/chart-of-the-day/171240/barchartcoms-chart-of-the-day-atlantic-power
2019-01-17,ADIL,Adial Pharmaceuticals Inc,96,https://www.barchart.com/story/news/chart-of-the-day/150995/barchartcoms-chart-of-the-day-adail-pharmaceuticals
2019-01-16,DXR,Daxor Corp,96,https://www.barchart.com/story/news/chart-of-the-day/135318/barchartcoms-chart-of-the-day-daxor
2019-01-15,INSG,Inseego Corp,96,https://www.barchart.com/story/news/chart-of-the-day/113949/barchartcoms-chart-of-the-day-inseego
2019-01-14,WAAS,Aquaventure Holdings Ltd,96,https://www.barchart.com/story/news/chart-of-the-day/102244/barchartcoms-chart-of-the-day-aquaventure
2019-01-11,MEET,The Meet Group,80,https://www.barchart.com/story/news/chart-of-the-day/75621/barchartcoms-chart-of-the-day-the-meet-group
2019-01-10,CPL,Cpfl Energia S.A.,96,https://www.barchart.com/story/news/chart-of-the-day/53037/barchartcoms-chart-of-the-day-cpfl-energia-sa
